country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
GBR,United Kingdom,14 Tullywiggan Road,GBR0005673,1.0,54.6221,-6.7398,Biomass,,,,,PAR Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
GBR,United Kingdom,289 Finvoy Road,GBR0004884,5.9,54.9638,-6.493,Solar,,,,,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,1101088,,,,,,,,,,8.85,8.83,8.88,8.88,8.95,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
GBR,United Kingdom,30 Acres,GBR0005396,4.965,53.2062,-1.1968,Solar,,,,,Navitas Project,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,7.09,7.55,7.59,7.61,7.69,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
GBR,United Kingdom,A C Shropshire (Farm AD),GBR0000233,2.5,52.586,-1.2375,Biomass,,,,,PROjEN,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
GBR,United Kingdom,A'Chruach,GBR0004331,42.6,56.1528,-5.3102,Wind,,,,,Infinis (formerly Novera Energy),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,1071684,,,,,,,,,,,,,,107.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
GBR,United Kingdom,ABP Ellesmere Abbatoir,GBR0006488,1.1,52.8543,-2.8986,Biomass,,,,,ABP Ellesmere,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
GBR,United Kingdom,AMBLESTON SOLAR PANELS,GBR0001623,6.0,51.8992,-4.8665,Solar,,,,,Arqiva Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,8.98,9.05,9.04,9.0,9.23,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
GBR,United Kingdom,ANP Newport Wind Turbine,GBR0005555,2.3,51.5559,-2.9738,Wind,,,,,Associated British Ports,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,,,,,5.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
GBR,United Kingdom,Abbey Farm,GBR0001737,9.0,52.4193,-0.2366,Solar,,,,,Anesco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,13.49,13.41,13.61,13.65,13.68,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
GBR,United Kingdom,Abbey Fields Farm,GBR0005394,5.3,51.3187,0.9029,Solar,,,,,FR Solar Kent PV,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,,,,,,,,,,,7.92,8.07,8.06,8.06,8.14,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
